shipment_id,warehouse,supplier,category,lead_time_days,promised_lead_time,inventory_holding_cost,unit_order_quantity,stockout_flag,shipment_status
SHP-1000,WH-Mumbai,Supp-B,Automotive,17,7,7196.27,262,0,Delivered
SHP-1001,WH-Hyderabad,Supp-C,Consumer Goods,3,6,8262.72,474,0,Delivered
SHP-1002,WH-Delhi,Supp-A,Industrial Parts,7,7,5691.09,385,0,Delivered
SHP-1003,WH-Mumbai,Supp-A,Consumer Goods,22,5,9686.84,301,0,Delivered
SHP-1004,WH-Mumbai,Supp-A,Consumer Goods,13,10,990.85,478,0,Delivered
SHP-1005,WH-Hyderabad,Supp-A,Automotive,6,11,5295.56,17,0,Delivered
SHP-1006,WH-Delhi,Supp-D,Consumer Goods,3,6,7325.31,334,0,Delivered
SHP-1007,WH-Delhi,Supp-A,Automotive,17,12,8695.08,99,1,Delivered
SHP-1008,WH-Mumbai,Supp-D,Electronics,6,10,2202.93,217,0,Delivered
SHP-1009,WH-Bengaluru,Supp-D,Electronics,16,8,8100.03,301,0,Delayed
SHP-1010,WH-Mumbai,Supp-A,Automotive,13,9,5750.72,293,0,Delayed
SHP-1011,WH-Mumbai,Supp-A,Electronics,5,12,4267.26,127,0,Delivered
SHP-1012,WH-Mumbai,Supp-B,Industrial Parts,16,7,1751.29,358,0,Delivered
SHP-1013,WH-Mumbai,Supp-C,Consumer Goods,12,7,8720.31,184,0,Delayed
SHP-1014,WH-Hyderabad,Supp-A,Industrial Parts,17,8,1994.1,85,0,Delayed
SHP-1015,WH-Delhi,Supp-B,Consumer Goods,24,5,3442.98,110,1,Delayed
SHP-1016,WH-Hyderabad,Supp-B,Electronics,7,13,3255.43,423,0,Delivered
SHP-1017,WH-Hyderabad,Supp-C,Industrial Parts,15,12,8778.43,160,0,Delivered
SHP-1018,WH-Hyderabad,Supp-D,Electronics,19,12,6890.68,409,1,Delayed
SHP-1019,WH-Mumbai,Supp-A,Consumer Goods,13,14,8068.47,279,0,Delivered
SHP-1020,WH-Bengaluru,Supp-C,Automotive,12,10,2879.45,467,1,Delivered
SHP-1021,WH-Delhi,Supp-A,Automotive,14,11,6436.3,80,0,Delivered
SHP-1022,WH-Bengaluru,Supp-B,Industrial Parts,22,10,5931.59,189,0,Delivered
SHP-1023,WH-Hyderabad,Supp-B,Electronics,24,13,8411.89,133,0,Delivered
SHP-1024,WH-Hyderabad,Supp-D,Electronics,12,7,9107.83,390,0,Delivered
SHP-1025,WH-Bengaluru,Supp-B,Industrial Parts,24,7,615.49,302,1,Delivered
SHP-1026,WH-Bengaluru,Supp-B,Automotive,17,7,6903.19,294,0,Delivered
SHP-1027,WH-Bengaluru,Supp-C,Consumer Goods,16,14,992.44,204,0,Delivered
SHP-1028,WH-Hyderabad,Supp-A,Industrial Parts,22,7,5714.16,408,0,Delivered
SHP-1029,WH-Hyderabad,Supp-A,Consumer Goods,16,13,3232.51,237,0,Delivered
SHP-1030,WH-Delhi,Supp-C,Automotive,5,8,3414.38,440,0,Delivered
SHP-1031,WH-Delhi,Supp-D,Electronics,12,11,3853.11,439,0,Delayed
SHP-1032,WH-Hyderabad,Supp-A,Automotive,20,13,6402.28,445,0,Delivered
SHP-1033,WH-Bengaluru,Supp-B,Industrial Parts,16,11,3673.47,284,0,Delivered
SHP-1034,WH-Bengaluru,Supp-A,Electronics,5,13,7460.64,470,0,Delivered
SHP-1035,WH-Delhi,Supp-B,Industrial Parts,22,7,4343.01,115,0,Delayed
SHP-1036,WH-Hyderabad,Supp-D,Industrial Parts,14,8,1149.36,30,0,Delivered
SHP-1037,WH-Delhi,Supp-C,Automotive,23,12,7945.72,73,0,Delivered
SHP-1038,WH-Delhi,Supp-A,Industrial Parts,20,10,3214.7,174,0,Delivered
SHP-1039,WH-Mumbai,Supp-C,Automotive,3,9,4611.29,36,0,Delivered
SHP-1040,WH-Mumbai,Supp-A,Electronics,15,8,7011.72,320,0,Delayed
SHP-1041,WH-Mumbai,Supp-B,Automotive,5,12,3658.33,294,0,Delayed
SHP-1042,WH-Bengaluru,Supp-C,Electronics,17,5,1037.56,157,0,Delivered
SHP-1043,WH-Hyderabad,Supp-A,Automotive,22,13,4052.25,290,0,Delivered
SHP-1044,WH-Hyderabad,Supp-B,Consumer Goods,21,5,9472.26,335,0,Delivered
SHP-1045,WH-Hyderabad,Supp-C,Consumer Goods,15,12,6596.48,328,0,Delivered
SHP-1046,WH-Hyderabad,Supp-C,Industrial Parts,16,8,6879.05,173,0,Delivered
SHP-1047,WH-Mumbai,Supp-A,Automotive,4,13,6506.68,395,0,Delivered
SHP-1048,WH-Bengaluru,Supp-A,Automotive,9,9,2390.43,415,1,Delivered
SHP-1049,WH-Bengaluru,Supp-A,Electronics,17,7,4474.17,233,0,Delivered
SHP-1050,WH-Mumbai,Supp-B,Industrial Parts,11,13,7633.93,281,0,Delayed
SHP-1051,WH-Bengaluru,Supp-A,Automotive,5,13,1463.04,155,1,Delivered
SHP-1052,WH-Mumbai,Supp-C,Industrial Parts,19,8,3139.6,462,0,Delayed
SHP-1053,WH-Hyderabad,Supp-C,Consumer Goods,3,8,3125.03,447,0,Delivered
SHP-1054,WH-Mumbai,Supp-A,Automotive,18,12,4604.18,365,0,Delivered
SHP-1055,WH-Hyderabad,Supp-A,Automotive,14,6,9813.5,39,0,Delivered
SHP-1056,WH-Hyderabad,Supp-D,Industrial Parts,5,13,1141.27,54,1,Delivered
SHP-1057,WH-Delhi,Supp-C,Automotive,12,10,5427.66,284,1,Delivered
SHP-1058,WH-Mumbai,Supp-B,Industrial Parts,8,13,2203.96,480,0,Delivered
SHP-1059,WH-Delhi,Supp-D,Automotive,13,12,9721.43,43,0,Cancelled
SHP-1060,WH-Mumbai,Supp-A,Electronics,11,11,1576.38,150,1,Delivered
SHP-1061,WH-Mumbai,Supp-A,Industrial Parts,8,5,4334.21,436,0,Delivered
